Date,Postcode,Latitude,Longitude,municipality,Cases_14_days,tasa_incidencia_14dias_100mil_hab,Cases,tasa_incidencia_100mil_hab
2020-04-08,28001,41.086697010,-3.625204020,La Acebeda,≤ 5,0,≤ 5,0
2020-04-08,28864,40.535068130,-3.480710160,Ajalvir,≤ 5,84,7,147
2020-04-08,28742,40.916583150,-3.843661950,Alameda del Valle,≤ 5,0,≤ 5,0
2020-04-08,28607,40.228256070,-3.990797560,El Álamo,13,132,26,263
2020-04-08,28805,40.480332320,-3.369251020,Alcalá de Henares,706,338,1971,943
2020-04-08,28100,40.541041880,-3.632401850,Alcobendas,293,242,435,359
2020-04-08,28009,40.408411910,-3.687600880,Madrid-Salamanca,511,529,1003,1038
2020-04-08,7901,40.414118,-3.706350,Madrid-Centro,424,298,732,515
2020-04-08,7902,40.398352,-3.694286,Madrid-Arganzuela,659,369,1094,613
2020-04-08,7905,40.456942,-3.685407,Madrid-Chamartín,588,400,1079,735
2020-04-08,7906,40.459604,-3.699092,Madrid-Tetuán,854,522,1480,905
2020-04-08,7907,40.438616,-3.703407,Madrid-Chamberí,603,406,914,616
2020-04-08,7908,40.493404,-3.692726,Madrid-Fuencarral-El Pardo,1183,527,2001,891
2020-04-08,7909,40.448271,-3.736135,Madrid-Moncloa-Aravaca,441,348,778,613
2020-04-08,7910,40.398238,-3.751471,Madrid-Latina,1084,434,1689,677
2020-04-08,7911,40.374132,-3.732396,Madrid-Carabanchel,910,369,1672,679
2020-04-08,7912,40.381472,-3.705673,Madrid-Usera,552,372,978,659
2020-04-08,7913,40.380157,-3.656587,Madrid-Puente de Vallecas,1261,493,2226,870
2020-04-08,7920,40.441054,-3.612516,Madrid-San Blas - Canillejas,569,410,1013,729
2020-04-08,7921,40.462781,-3.593528,Madrid-Barajas,171,325,306,581
2020-04-08,7914,40.407867,-3.654587,Madrid-Moratalaz,552,421,950,724
2020-04-08,7915,40.427042,-3.641120,Madrid-Ciudad Lineal,838,317,1498,566
2020-04-08,7916,40.464389,-3.650073,Madrid-Hortaleza,699,331,1221,578
2020-04-08,7917,40.345257,-3.714008,Madrid-Villaverde,507,319,985,619
2020-04-08,7918,40.370130,-3.616214,Madrid-Villa de Vallecas,484,454,959,899
2020-04-08,7919,40.398027,-3.604480,Madrid-Vicálvaro,310,589,591,1123
2020-04-08,28020,40.408411910,-3.687600880,Madrid-Retiro,511,529,1003,1038
2020-04-08,28115,40.442511,-3.799647,Pozuelo de Alarcón,159,180,413,468
2020-04-08,28007,40.344842,-3.824993,Alcorcón,743,425,1113,637
2020-04-08,28096,40.284828,-4.016125,Navalcarnero,55,195,103,365
2020-04-08,28129,40.677958,-3.618615,San Agustín del Guadalix,18,124,29,199
2020-04-08,28127,40.489884,-3.872068,Las Rozas de Madrid,271,283,458,478
2020-04-08,28089,40.260720,-3.862557,Moraleja de Enmedio,7,131,17,317
2020-04-08,28155,40.210019,-3.193655,Valdaracete,≤ 5,659,≤ 5,659
2020-04-08,28116,40.365772,-3.319242,Pozuelo del Rey,≤ 5,0,≤ 5,202
2020-04-08,28118,41.011354,-3.444577,Puebla de la Sierra,≤ 5,0,≤ 5,0
2020-04-08,28110,40.233185,-3.353083,Perales de Tajuña,≤ 5,107,6,161
2020-04-08,28160,40.499343,-4.065596,Valdemorillo,16,132,22,182
2020-04-08,28094,40.823706,-3.674180,Navalafuente,≤ 5,252,≤ 5,378
2020-04-08,28167,40.371083,-3.489002,Velilla de San Antonio,27,216,46,368
2020-04-08,28176,40.446162,-4.001812,Villanueva de la Cañada,30,123,62,254
2020-04-08,28177,40.487712,-3.961660,Villanueva del Pardillo,11,65,55,326
2020-04-08,28100,40.365170,-3.244018,Nuevo Baztán,7,105,22,331
2020-04-08,28175,40.344415,-4.128960,Villamantilla,≤ 5,118,8,948
2020-04-08,28174,40.297738,-4.109313,Villamanta,≤ 5,235,6,282
2020-04-08,28029,40.822241,-3.623468,Cabanillas de la Sierra,≤ 5,518,8,1382
2020-04-08,28037,40.260855,-4.467145,Cenicientos,≤ 5,51,13,663
2020-04-08,28902,40.956844,-3.593398,Puentes Viejas,≤ 5,0,≤ 5,219
2020-04-08,28013,40.029266,-3.601710,Aranjuez,190,300,334,527
2020-04-08,28038,40.740095,-4.057315,Cercedilla,23,307,48,641
2020-04-08,28136,40.471900,-3.232754,Santorcaz,≤ 5,177,7,1237
2020-04-08,28049,40.424860,-3.564607,Coslada,309,350,589,666
2020-04-08,28091,40.229519,-3.437331,Morata de Tajuña,24,309,77,991
2020-04-08,28126,41.106433,-3.593457,Robregordo,≤ 5,0,≤ 5,0
2020-04-08,28097,40.988319,-3.721255,Navarredonda y San Mamés,≤ 5,0,≤ 5,1205
2020-04-08,28169,40.798927,-3.623891,Venturada,≤ 5,71,≤ 5,71
2020-04-08,28093,40.728871,-4.013794,Navacerrada,7,251,9,323
2020-04-08,28088,41.059423,-3.529570,Montejo de la Sierra,≤ 5,279,≤ 5,279
2020-04-08,28057,40.592344,-3.412218,Fresno de Torote,7,583,13,1082
2020-04-08,28112,40.926560,-3.820556,Pinilla del Valle,≤ 5,0,≤ 5,0
2020-04-08,28159,40.511074,-4.294607,Valdemaqueda,≤ 5,117,≤ 5,234
2020-04-08,28099,40.387564,-4.249546,Navas del Rey,6,204,40,1359
2020-04-08,28101,40.369155,-3.221706,Olmeda de las Fuentes,≤ 5,415,≤ 5,1245
2020-04-08,28028,40.858599,-3.711063,Bustarviejo,≤ 5,225,≤ 5,225
2020-04-08,28018,40.711542,-3.996818,Becerril de la Sierra,9,156,17,295
2020-04-08,28058,40.285972,3.803984,Fuenlabrada,522,256,1085,532
2020-04-08,28062,40.921998,-3.685891,Garganta de los Montes,≤ 5,0,≤ 5,365
2020-04-08,28113,40.252253,-3.698101,Pinto,67,126,149,280
2020-04-08,28020,40.975543,-3.523600,Berzosa del Lozoya,≤ 5,658,≤ 5,658
2020-04-08,28137,40.501370,-3.256842,Los Santos de la Humosa,≤ 5,238,18,1072
2020-04-08,28109,40.358455,-4.334579,Pelayos de la Presa,≤ 5,188,15,563
2020-04-08,28061,40.576712,-4.005795,Galapagar,56,169,117,353
2020-04-08,28066,40.215311,-3.858072,Griñón,33,286,53,459
2020-04-08,28063,40.962895,-3.718189,Gargantilla del Lozoya y Pinilla de Buitrago,≤ 5,0,≤ 5,1027
2020-04-08,28008,40.321012,-4.199081,Aldea del Fresno,14,464,27,895
2020-04-08,28035,40.256641,-3.237540,Carabaña,≤ 5,286,10,572
2020-04-08,28145,40.744542,-3.510573,Talamanca de Jarama,11,351,18,575
2020-04-08,28051,40.379061,-4.211175,Chapinería,≤ 5,131,6,262
2020-04-08,28040,40.157866,-3.619401,Ciempozuelos,57,222,141,549
